bone,metric,v14_ep001,v14_ep002,v14_ep003,v14_ep004,v14_ep005,v14_ep006,v14_ep007,v14_ep008,v14_ep009,v14_delta_ep009_ep001,v14_delta_ep009_ep004,v14_best_ep,v14_best_val,v15_ep001,v15_ep002,v15_ep003,v15_ep004,v15_ep005,v15_ep006,v15_ep007,v15_ep008,v15_ep009,v15_delta_ep009_ep001,v15_delta_ep009_ep004,v15_best_ep,v15_best_val,ep009_v15_minus_v14
hand_r,GeoDeg,2.2701453447341917,0.7434247493743896,1.3229209899902343,0.736539101600647,0.4703322291374207,0.3172785878181458,0.5283862948417664,0.3605999231338501,0.41992310285568235,-1.8502222418785093,-0.3166159987449646,6,0.3172785878181458,3.570463705062866,1.0847501039505005,0.7155533552169799,0.6622265100479126,0.7256167531013489,0.8246258139610291,0.5751859903335571,0.4072231650352478,0.3525859653949738,-3.2178777396678924,-0.3096405446529388,9,0.3525859653949738,-0.06733713746070857
hand_r,GeoLocalDeg,2.2143826484680176,0.6058283925056458,1.195498561859131,0.7857572793960571,0.40522612929344176,0.3846209228038788,0.537688410282135,0.42512625455856323,0.5023191571235657,-1.712063491344452,-0.28343812227249143,6,0.3846209228038788,3.71925630569458,1.1331396579742432,0.7336367845535279,0.682016921043396,0.8331476807594299,0.9798310399055481,0.7416028022766114,0.5812544703483582,0.4543941140174866,-3.2648621916770932,-0.22762280702590937,9,0.4543941140174866,-0.04792504310607909
hand_r,AngVelMAE,0.07307452261447907,0.02519494332373142,0.015286975726485252,0.012901571206748485,0.012981167063117027,0.015330936573445798,0.01579659730195999,0.016455082595348357,0.016359907388687134,-0.05671461522579194,0.0034583361819386493,4,0.012901571206748485,0.05925369709730148,0.030937302485108377,0.01977410987019539,0.017610669136047363,0.020888397842645644,0.022285350412130357,0.02260674349963665,0.021364836394786833,0.02225390002131462,-0.03699979707598686,0.004643230885267257,4,0.017610669136047363,0.005893992632627486
hand_r,AngVelMagMAE,0.07890022248029709,0.03039146549999714,0.01661019343882799,0.015482678450644017,0.015947999618947505,0.020497801154851912,0.020572375133633615,0.021009207889437675,0.022035030648112297,-0.05686519183218479,0.0065523521974682804,4,0.015482678450644017,0.06661461144685746,0.030044885724782942,0.020634810626506805,0.018219339102506636,0.022535261139273642,0.025863052532076835,0.027928129956126212,0.028132717683911325,0.030131303146481513,-0.036483308300375945,0.011911964043974876,4,0.018219339102506636,0.008096272498369216
hand_r,AngVelMagRel,0.08049103617668152,0.02758457250893116,0.013213514536619186,0.013298332877457141,0.01448924969881773,0.022147713974118233,0.02098918557167053,0.02021878436207771,0.02166084349155426,-0.05883019268512726,0.00836251061409712,3,0.013213514536619186,0.07045254409313202,0.031056859716773032,0.02242266424000263,0.019112246856093407,0.02196229510009289,0.026039271801710128,0.02642241381108761,0.028262145444750787,0.03208466917276383,-0.038367874920368195,0.01297242231667042,4,0.019112246856093407,0.010423825681209566
hand_r,AngVelDirDeg,2.2143826484680176,0.6058283925056458,1.195498561859131,0.7857572793960571,0.40522612929344176,0.3846209228038788,0.537688410282135,0.42512625455856323,0.5023191571235657,-1.712063491344452,-0.28343812227249143,6,0.3846209228038788,3.71925630569458,1.1331396579742432,0.7336367845535279,0.682016921043396,0.8331476807594299,0.9798310399055481,0.7416028022766114,0.5812544703483582,0.4543941140174866,-3.2648621916770932,-0.22762280702590937,9,0.4543941140174866,-0.04792504310607909
lowerarm_l,GeoDeg,3.3005050659179687,0.44107029438018797,0.6242083191871644,0.7753451824188232,0.5482947945594787,0.6032402157783509,0.6964453220367431,0.7117424249649048,0.7205851197242736,-2.5799199461936952,-0.05476006269454958,2,0.44107029438018797,2.404687261581421,0.5733906388282776,0.9113677740097046,1.0556252956390382,1.0323601126670838,1.1850359201431275,1.0551747322082519,0.7543906688690185,0.7264814734458923,-1.6782057881355286,-0.32914382219314586,2,0.5733906388282776,0.0058963537216186745
lowerarm_l,GeoLocalDeg,3.2657438278198243,0.48585727214813235,0.6277887225151062,0.8360068678855896,0.5395700216293335,0.6074293851852417,0.7237289667129516,0.7253270864486694,0.6990410089492798,-2.5667028188705445,-0.13696585893630986,2,0.48585727214813235,2.657494401931763,0.6558643341064453,0.9940688610076904,1.116590976715088,1.0167784571647644,1.1366867303848267,0.9816531658172607,0.7074246883392334,0.7409444570541381,-1.9165499448776246,-0.37564651966094975,2,0.6558643341064453,0.041903448104858354
lowerarm_l,AngVelMAE,0.11551963537931442,0.029684416204690933,0.018537276610732078,0.020756316557526588,0.023211660608649255,0.023473042249679565,0.021170375868678093,0.022991133853793144,0.026183611527085305,-0.08933602385222912,0.005427294969558717,3,0.018537276610732078,0.07835090160369873,0.031847330182790755,0.0246618889272213,0.024690508469939233,0.029852930456399918,0.030354707315564156,0.028829609602689744,0.024144353345036507,0.023147470876574518,-0.05520343072712421,-0.0015430375933647156,9,0.023147470876574518,-0.0030361406505107873
lowerarm_l,AngVelMagMAE,0.15683053731918334,0.03832712396979332,0.024413084238767625,0.030203528329730035,0.03210785873234272,0.03284328952431679,0.028711090981960296,0.03187716044485569,0.03601357899606228,-0.12081695832312106,0.0058100506663322435,3,0.024413084238767625,0.10190417170524597,0.04021788388490677,0.03151906579732895,0.03465589880943298,0.04339154586195946,0.044652434438467024,0.04279715344309807,0.0354944720864296,0.03369643464684487,-0.06820773705840111,-0.0009594641625881167,3,0.03151906579732895,-0.002317144349217412
